child,comp[T.WH],embpred[T.True],embsubj[T.True],embtense[T.TENSED],embtense[T.TO],itr,obj[T.True],prep1[T.True],verb,sent,subcorp
andy,0,1,0,0,1,0,0,0,want,okay you want~to sit there,8
andy,0,0,0,0,0,0,0,0,sit,okay you want~to sit there,8
andy,0,0,0,0,0,0,0,0,go,now go tell Dad to come on huh,8
andy,0,1,0,0,1,0,1,0,tell,now go tell Dad to come on huh,8
andy,0,0,0,0,0,0,0,0,come,now go tell Dad to come on huh,8
andy,0,1,0,0,1,0,0,0,want,want~to tell Dad to come on,2
andy,0,1,0,0,1,0,1,0,tell,want~to tell Dad to come on,2
andy,0,0,0,0,0,0,0,0,come,want~to tell Dad to come on,2
andy,0,0,0,0,0,0,1,0,have,we~be go-PRESP to have dinner dear,3
andy,0,0,0,0,0,0,0,0,come,come on,0
andy,0,0,0,0,0,0,1,0,eat,oh but we~be all go-PRESP~to eat dinner,5
andy,0,1,0,0,1,0,0,0,want,I want~to find out about what you do-PAST with Karen today,8
andy,0,0,0,0,0,0,0,1,find,I want~to find out about what you do-PAST with Karen today,8
andy,0,0,0,0,0,0,1,1,do,I want~to find out about what you do-PAST with Karen today,8
andy,0,0,0,0,0,0,0,0,come,come and sit down at the table,9
andy,0,0,0,0,0,0,0,1,sit,come and sit down at the table,9
andy,0,0,0,0,0,0,1,0,try,what~genmod you try again,9
andy,0,0,0,0,0,0,1,0,have,no you~be go-PRESP~to have stew,8
andy,0,0,0,0,0,0,0,0,rhyme,that rhyme-3S huh,7
andy,0,0,0,0,0,0,1,0,have,do we have any bandaid-PL,9
andy,0,0,0,0,0,0,0,0,go,I~be go-PRESP~to go upstairs,4
andy,0,0,0,0,0,0,0,0,have,I have a cyst on my inner thigh,2
andy,0,0,0,0,0,0,1,0,need,I do~not need it right now,5
andy,0,0,0,0,0,0,1,0,get,no I~be just go-PRESP to get some salt,8
andy,0,0,1,0,0,0,1,0,know,you know what a zoo be-3S do~not you,3
andy,0,0,0,0,0,0,1,0,want,anybody want salad now,4
andy,0,0,0,0,0,0,1,0,want,do you want some salad,9
andy,0,0,0,0,0,0,0,0,know,you know the freeze-dv~s get-PRESP bare,4
andy,0,1,1,1,0,0,0,0,do,do-PAST you do-PAST you see anybody when you be-PAST play-PRESP outside today,2
andy,0,0,0,0,0,0,0,0,do,do-PAST you do-PAST you see anybody when you be-PAST play-PRESP outside today,2
andy,0,0,0,0,0,0,0,0,see,do-PAST you do-PAST you see anybody when you be-PAST play-PRESP outside today,2
andy,0,0,0,0,0,0,0,0,know,that you know-PAST,0
andy,0,0,0,0,0,0,0,1,talk,no do~not talk with your mouth full,5
andy,0,1,0,0,1,0,0,0,want,Andy do-PAST~not want to go to the park and he play-PAST a long time,7
