child,sentenceid,verb,matrix,subj,obj,prep1,pobj1,prep2,pobj2,prep3,pobj3,comp,embtense,embsubj,embpred,sent,context,subcorp,childSentence,,child,rand,childinitial,rand,
andy,0,want,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,FALSE,sit,okay you want~to sit there,dinner,8,andy0,,,0,,,
andy,0,sit,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,okay you want~to sit there,dinner,8,andy0,,andy0,8,a,0.289540034,8
andy,4,go,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,now go tell Dad to come on huh,dinner,8,andy4,,andy4,8,a,0.068236707,8
andy,4,tell,TRUE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,FALSE,come,now go tell Dad to come on huh,dinner,8,andy4,,andy5,2,a,0.549187269,2
andy,4,come,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,now go tell Dad to come on huh,dinner,8,andy4,,andy10,3,a,0.244843106,3
andy,5,want,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,FALSE,tell,want~to tell Dad to come on,dinner,2,andy5,,andy11,0,a,0.03821616,0
andy,5,tell,FALSE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,FALSE,come,want~to tell Dad to come on,dinner,2,andy5,,andy13,5,a,0.500449335,5
andy,5,come,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,want~to tell Dad to come on,dinner,2,andy5,,andy14,8,a,0.331106854,8
andy,10,have,FALSE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,we~be go-PRESP to have dinner dear,dinner,3,andy10,,andy19,9,a,0.766645396,9
andy,11,come,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,come on,dinner,0,andy11,,andy21,9,a,0.954957973,9
andy,13,eat,FALSE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,oh but we~be all go-PRESP~to eat dinner,dinner,5,andy13,,andy23,8,a,0.984819994,8
andy,14,want,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,FALSE,find,I want~to find out about what you do-PAST with Karen today,dinner,8,andy14,,andy25,7,a,0.612061641,7
andy,14,find,FALSE,FALSE,FALSE,about,do,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I want~to find out about what you do-PAST with Karen today,dinner,8,andy14,,andy28,9,a,0.310206575,9
andy,14,do,FALSE,TRUE,TRUE,with,today,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I want~to find out about what you do-PAST with Karen today,dinner,8,andy14,,andy30,4,a,0.627630784,4
andy,19,come,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,come and sit down at the table,dinner,9,andy19,,andy32,2,a,0.294641424,2
andy,19,sit,FALSE,FALSE,FALSE,at,table,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,come and sit down at the table,dinner,9,andy19,,andy35,5,a,0.413191316,5
andy,21,try,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,what~genmod you try again,dinner,9,andy21,,andy36,8,a,0.879284361,8
andy,23,have,FALSE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,no you~be go-PRESP~to have stew,dinner,8,andy23,,andy55,3,a,0.335655233,3
andy,25,rhyme,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,that rhyme-3S huh,dinner,7,andy25,,andy58,4,a,0.424174445,4
andy,28,have,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do we have any bandaid-PL,dinner,9,andy28,,andy59,9,a,0.319739412,9
andy,30,go,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I~be go-PRESP~to go upstairs,dinner,4,andy30,,andy63,4,a,0.145896812,4
andy,32,have,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I have a cyst on my inner thigh,dinner,2,andy32,,andy69,2,a,0.68835088,2
andy,35,need,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I do~not need it right now,dinner,5,andy35,,andy70,0,a,0.721172303,0
andy,36,get,FALSE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,no I~be just go-PRESP to get some salt,dinner,8,andy36,,andy72,5,a,0.570240529,5
andy,55,know,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TRUE,NONE,you know what a zoo be-3S do~not you,dinner,3,andy55,,andy75,7,a,0.243020399,7
andy,58,want,TRUE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,anybody want salad now,dinner,4,andy58,,andy77,1,a,0.39683875,1
andy,59,want,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do you want some salad,dinner,9,andy59,,andy78,8,a,0.500817647,8
andy,63,know,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you know the freeze-dv~s get-PRESP bare,dinner,4,andy63,,andy79,1,a,0.6746612,1
andy,69,do,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,TRUE,do,do-PAST you do-PAST you see anybody when you be-PAST play-PRESP outside today,dinner,2,andy69,,andy80,1,a,0.70343257,1
andy,69,do,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do-PAST you do-PAST you see anybody when you be-PAST play-PRESP outside today,dinner,2,andy69,,andy81,2,a,0.039430625,2
andy,69,see,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do-PAST you do-PAST you see anybody when you be-PAST play-PRESP outside today,dinner,2,andy69,,andy84,9,a,0.0706808,9
andy,70,know,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,that you know-PAST,dinner,0,andy70,,andy85,4,a,0.948701891,4
andy,72,talk,TRUE,FALSE,FALSE,with,mouth,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,no do~not talk with your mouth full,dinner,5,andy72,,andy86,7,a,0.560454852,7
andy,75,want,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,FALSE,go,Andy do-PAST~not want to go to the park and he play-PAST a long time,dinner,7,andy75,,andy91,9,a,0.061646299,9
andy,75,go,FALSE,FALSE,FALSE,to,park,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,Andy do-PAST~not want to go to the park and he play-PAST a long time,dinner,7,andy75,,andy95,5,a,0.718039233,5
andy,75,play,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,Andy do-PAST~not want to go to the park and he play-PAST a long time,dinner,7,andy75,,andy97,9,a,0.518308759,9
andy,75,time,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,Andy do-PAST~not want to go to the park and he play-PAST a long time,dinner,7,andy75,,andy98,7,a,0.418787092,7
andy,77,do,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you do-PAST,dinner,1,andy77,,andy101,7,a,0.233944528,7
andy,78,talk,TRUE,TRUE,FALSE,to,you,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do-PAST he talk to you,dinner,8,andy78,,andy106,1,a,0.523768431,1
andy,79,say,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,what~genmod he say,dinner,1,andy79,,andy109,8,a,0.961727981,8
andy,80,do,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,he do-PAST,dinner,1,andy80,,andy111,1,a,0.490722418,1
andy,81,tell,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,what~genmod he tell you,dinner,2,andy81,,andy114,8,a,0.472709489,8
andy,84,have,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,he must have have-PAST a lot,dinner,9,andy84,,andy115,9,a,0.685466496,9
andy,85,tell,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,where,TENSED,TRUE,be,do-PAST he tell you where he~genmod be-PASTP,dinner,4,andy85,,andy116,9,a,0.857895369,9
andy,86,tell,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,where,TENSED,TRUE,be,do-PAST he tell you where he have-PAST be-PASTP,dinner,7,andy86,,andy118,7,a,0.497087601,7
andy,91,stay,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,and the plant stay-3S the same size grow-PRESP,dinner,9,andy91,,andy121,9,a,0.106126256,9
andy,95,take,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I take-PAST a few off the other day,dinner,5,andy95,,andy122,4,a,0.822055963,4
andy,97,shrivel,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,no they be-PAST all shrivel-PAST up,dinner,9,andy97,,andy125,9,a,0.0064836,9
andy,98,keep,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,okay the next one you can keep,dinner,7,andy98,,andy127,9,a,0.566843269,9
andy,101,sit,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,well sit here and talk to us then,dinner,7,andy101,,andy149,0,a,0.101709877,0
andy,106,come,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,come on,dinner,1,andy106,,andy151,8,a,0.964514382,8
andy,109,want,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,hey Andy you want some water for dessert,dinner,8,andy109,,andy159,0,a,0.241239599,0
andy,111,work,FALSE,TRUE,FALSE,as,do,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,he be-PAST tell-PRESP Janet how it do-3S~not work as_well as it do-PAST,dinner,1,andy111,,andy161,4,a,0.991442914,4
andy,111,do,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,he be-PAST tell-PRESP Janet how it do-3S~not work as_well as it do-PAST,dinner,1,andy111,,andy164,8,a,0.801439027,8
andy,114,say,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,FALSE,go,well you say-PAST it do-PAST~not go as fast as it do-PAST right,dinner,8,andy114,,andy165,6,a,0.446371094,6
andy,114,go,FALSE,FALSE,FALSE,as,do,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,well you say-PAST it do-PAST~not go as fast as it do-PAST right,dinner,8,andy114,,andy167,9,a,0.447237231,9
andy,114,do,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,well you say-PAST it do-PAST~not go as fast as it do-PAST right,dinner,8,andy114,,andy168,9,a,0.990778387,9
andy,115,go,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,okay go back and finish up some more food,dinner,9,andy115,,andy169,2,a,0.214639716,2
andy,115,finish,FALSE,FALSE,FALSE,up,food,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,okay go back and finish up some more food,dinner,9,andy115,,andy172,1,a,0.919791548,1
andy,116,want,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,then what do you want some water,dinner,9,andy116,,andy175,2,a,0.443076079,2
andy,118,let,TRUE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,see,now let-ZERO me see,dinner,7,andy118,,andy176,9,a,0.513149697,9
andy,118,see,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,now let-ZERO me see,dinner,7,andy118,,andy180,3,a,0.210692504,3
andy,121,get,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,everything get-3S catch-PAST when you go over it,dinner,9,andy121,,andy181,2,a,0.378255166,2
andy,121,catch,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,everything get-3S catch-PAST when you go over it,dinner,9,andy121,,andy183,5,a,0.120993587,5
andy,121,go,FALSE,TRUE,FALSE,over,it,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,everything get-3S catch-PAST when you go over it,dinner,9,andy121,,andy185,9,a,0.187530883,9
andy,122,want,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,want some more,dinner,4,andy122,,andy187,1,a,0.799845553,1
andy,125,do,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do-PAST Karen read-ZERO you any story-PL today,dinner,9,andy125,,andy191,5,a,0.635157124,5
andy,125,read,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TRUE,NONE,do-PAST Karen read-ZERO you any story-PL today,dinner,9,andy125,,andy192,4,a,0.220316197,4
andy,127,work,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,it do-3S~not work that well,dinner,9,andy127,,andy194,1,a,0.809960486,1
andy,149,have,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,TRUE,NONE,have any problem-PL be-3S that it,dinner,0,andy149,,andy195,3,a,0.63056193,3
andy,151,enjoy,TRUE,TRUE,TRUE,at,least,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,at least we will-COND enjoy it more,dinner,8,andy151,,andy196,6,a,0.107676096,6
andy,159,plant,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you plant-PAST it,dinner,0,andy159,,andy199,1,a,0.238048247,1
andy,161,plant,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,it~be get-PASTP so big since you plant-PAST it,dinner,4,andy161,,andy200,6,a,0.807411034,6
