child,sentenceid,verb,matrix,subj,obj,prep1,pobj1,prep2,pobj2,prep3,pobj3,comp,embtense,embsubj,embpred,sent,context
andy,0,want,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,FALSE,sit,okay you want~to sit there,dinner
andy,0,sit,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,okay you want~to sit there,dinner
andy,4,go,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,now go tell Dad to come on huh,dinner
andy,4,tell,TRUE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,FALSE,come,now go tell Dad to come on huh,dinner
andy,4,come,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,now go tell Dad to come on huh,dinner
andy,5,want,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,FALSE,tell,want~to tell Dad to come on,dinner
andy,5,tell,FALSE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,FALSE,come,want~to tell Dad to come on,dinner
andy,5,come,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,want~to tell Dad to come on,dinner
andy,10,have,FALSE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,we~be go-PRESP to have dinner dear,dinner
andy,11,come,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,come on,dinner
andy,13,eat,FALSE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,oh but we~be all go-PRESP~to eat dinner,dinner
andy,14,want,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,FALSE,find,I want~to find out about what you do-PAST with Karen today,dinner
andy,14,find,FALSE,FALSE,FALSE,about,do,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I want~to find out about what you do-PAST with Karen today,dinner
andy,14,do,FALSE,TRUE,TRUE,with,today,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I want~to find out about what you do-PAST with Karen today,dinner
andy,19,come,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,come and sit down at the table,dinner
andy,19,sit,FALSE,FALSE,FALSE,at,table,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,come and sit down at the table,dinner
andy,21,try,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,what~genmod you try again,dinner
andy,23,have,FALSE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,no you~be go-PRESP~to have stew,dinner
andy,25,rhyme,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,that rhyme-3S huh,dinner
andy,28,have,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do we have any bandaid-PL,dinner
andy,30,go,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I~be go-PRESP~to go upstairs,dinner
andy,32,have,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I have a cyst on my inner thigh,dinner
andy,35,need,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I do~not need it right now,dinner
andy,36,get,FALSE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,no I~be just go-PRESP to get some salt,dinner
andy,55,know,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TRUE,NONE,you know what a zoo be-3S do~not you,dinner
andy,58,want,TRUE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,anybody want salad now,dinner
andy,59,want,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do you want some salad,dinner
andy,63,know,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you know the freeze-dv~s get-PRESP bare,dinner
andy,69,do,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,TRUE,do,do-PAST you do-PAST you see anybody when you be-PAST play-PRESP outside today,dinner
andy,69,do,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do-PAST you do-PAST you see anybody when you be-PAST play-PRESP outside today,dinner
andy,69,see,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do-PAST you do-PAST you see anybody when you be-PAST play-PRESP outside today,dinner
andy,70,know,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,that you know-PAST,dinner
