child,sentenceid,verb,matrix,subj,obj,prep1,pobj1,prep2,pobj2,prep3,pobj3,comp,embtense,embsubj,embpred,sent,context
andy,0,want,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,False,sit,okay you want~to sit there,dinner
andy,0,sit,False,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,okay you want~to sit there,dinner
andy,4,go,False,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,now go tell Dad to come on huh,dinner
andy,4,tell,True,False,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,False,come,now go tell Dad to come on huh,dinner
andy,4,come,False,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,now go tell Dad to come on huh,dinner
andy,5,want,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,False,tell,want~to tell Dad to come on,dinner
andy,5,tell,False,False,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,False,come,want~to tell Dad to come on,dinner
andy,5,come,False,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,want~to tell Dad to come on,dinner
andy,10,have,False,False,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,we~be go-PRESP to have dinner dear,dinner
andy,11,come,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,come on,dinner
andy,13,eat,False,False,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,oh but we~be all go-PRESP~to eat dinner,dinner
andy,14,want,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,False,find,I want~to find out about what you do-PAST with Karen today,dinner
andy,14,find,False,False,False,about,do,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,I want~to find out about what you do-PAST with Karen today,dinner
andy,14,do,False,True,True,with,today,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,I want~to find out about what you do-PAST with Karen today,dinner
andy,19,come,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,come and sit down at the table,dinner
andy,19,sit,False,False,False,at,table,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,come and sit down at the table,dinner
andy,21,try,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,what~genmod you try again,dinner
andy,23,have,False,False,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,no you~be go-PRESP~to have stew,dinner
andy,25,rhyme,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,that rhyme-3S huh,dinner
andy,28,have,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,do we have any bandaid-PL,dinner
andy,30,go,False,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,I~be go-PRESP~to go upstairs,dinner
andy,32,have,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,I have a cyst on my inner thigh,dinner
andy,35,need,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,I do~not need it right now,dinner
andy,36,get,False,False,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,no I~be just go-PRESP to get some salt,dinner
andy,55,know,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,True,NONE,you know what a zoo be-3S do~not you,dinner
andy,58,want,True,False,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,anybody want salad now,dinner
andy,59,want,True,True,True,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,do you want some salad,dinner
andy,63,know,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,you know the freeze-dv~s get-PRESP bare,dinner
andy,69,do,True,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,True,do,do-PAST you do-PAST you see anybody when you be-PAST play-PRESP outside today,dinner
andy,69,do,False,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,do-PAST you do-PAST you see anybody when you be-PAST play-PRESP outside today,dinner
andy,69,see,False,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,do-PAST you do-PAST you see anybody when you be-PAST play-PRESP outside today,dinner
andy,70,know,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,that you know-PAST,dinner
andy,72,talk,True,False,False,with,mouth,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,no do~not talk with your mouth full,dinner
andy,75,want,True,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,False,go,Andy do-PAST~not want to go to the park and he play-PAST a long time,dinner
andy,75,go,False,False,False,to,park,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,Andy do-PAST~not want to go to the park and he play-PAST a long time,dinner
andy,75,play,False,True,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,Andy do-PAST~not want to go to the park and he play-PAST a long time,dinner
andy,75,time,False,False,False,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,False,NONE,Andy do-PAST~not want to go to the park and he play-PAST a long time,dinner
