child,sentenceid,verb,matrix,subj,obj,prep1,pobj1,prep2,pobj2,prep3,pobj3,comp,embtense,embsubj,embpred,sent,context,subcorp,childSentence
andy,5,want,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,FALSE,tell,want~to tell Dad to come on,dinner,2,andy5
andy,5,tell,FALSE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,FALSE,come,want~to tell Dad to come on,dinner,2,andy5
andy,5,come,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,want~to tell Dad to come on,dinner,2,andy5
andy,10,have,FALSE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,we~be go-PRESP to have dinner dear,dinner,3,andy10
andy,11,come,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,come on,dinner,0,andy11
andy,13,eat,FALSE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,oh but we~be all go-PRESP~to eat dinner,dinner,5,andy13
andy,19,come,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,come and sit down at the table,dinner,9,andy19
andy,19,sit,FALSE,FALSE,FALSE,at,table,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,come and sit down at the table,dinner,9,andy19
andy,21,try,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,what~genmod you try again,dinner,9,andy21
andy,25,rhyme,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,that rhyme-3S huh,dinner,7,andy25
andy,28,have,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do we have any bandaid-PL,dinner,9,andy28
andy,30,go,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I~be go-PRESP~to go upstairs,dinner,4,andy30
andy,32,have,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I have a cyst on my inner thigh,dinner,2,andy32
andy,35,need,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I do~not need it right now,dinner,5,andy35
andy,55,know,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TRUE,NONE,you know what a zoo be-3S do~not you,dinner,3,andy55
andy,58,want,TRUE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,anybody want salad now,dinner,4,andy58
andy,59,want,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do you want some salad,dinner,9,andy59
andy,63,know,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you know the freeze-dv~s get-PRESP bare,dinner,4,andy63
andy,69,do,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TENSED,TRUE,do,do-PAST you do-PAST you see anybody when you be-PAST play-PRESP outside today,dinner,2,andy69
andy,69,do,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do-PAST you do-PAST you see anybody when you be-PAST play-PRESP outside today,dinner,2,andy69
andy,69,see,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,do-PAST you do-PAST you see anybody when you be-PAST play-PRESP outside today,dinner,2,andy69
andy,70,know,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,that you know-PAST,dinner,0,andy70
andy,72,talk,TRUE,FALSE,FALSE,with,mouth,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,no do~not talk with your mouth full,dinner,5,andy72
andy,75,want,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TO,FALSE,go,Andy do-PAST~not want to go to the park and he play-PAST a long time,dinner,7,andy75
andy,75,go,FALSE,FALSE,FALSE,to,park,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,Andy do-PAST~not want to go to the park and he play-PAST a long time,dinner,7,andy75
andy,75,play,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,Andy do-PAST~not want to go to the park and he play-PAST a long time,dinner,7,andy75
andy,75,time,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,Andy do-PAST~not want to go to the park and he play-PAST a long time,dinner,7,andy75
andy,77,do,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,you do-PAST,dinner,1,andy77
andy,79,say,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,what~genmod he say,dinner,1,andy79
andy,80,do,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,he do-PAST,dinner,1,andy80
andy,81,tell,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,what~genmod he tell you,dinner,2,andy81
andy,84,have,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,he must have have-PAST a lot,dinner,9,andy84
andy,85,tell,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,where,TENSED,TRUE,be,do-PAST he tell you where he~genmod be-PASTP,dinner,4,andy85
andy,86,tell,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,where,TENSED,TRUE,be,do-PAST he tell you where he have-PAST be-PASTP,dinner,7,andy86
andy,91,stay,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,and the plant stay-3S the same size grow-PRESP,dinner,9,andy91
andy,95,take,TRUE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,I take-PAST a few off the other day,dinner,5,andy95
andy,97,shrivel,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,no they be-PAST all shrivel-PAST up,dinner,9,andy97
andy,98,keep,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,okay the next one you can keep,dinner,7,andy98
andy,101,sit,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,well sit here and talk to us then,dinner,7,andy101
andy,106,come,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,come on,dinner,1,andy106
andy,111,work,FALSE,TRUE,FALSE,as,do,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,he be-PAST tell-PRESP Janet how it do-3S~not work as_well as it do-PAST,dinner,1,andy111
andy,111,do,FALSE,TRUE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,he be-PAST tell-PRESP Janet how it do-3S~not work as_well as it do-PAST,dinner,1,andy111
andy,115,go,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,okay go back and finish up some more food,dinner,9,andy115
andy,115,finish,FALSE,FALSE,FALSE,up,food,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,okay go back and finish up some more food,dinner,9,andy115
andy,116,want,TRUE,TRUE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,then what do you want some water,dinner,9,andy116
andy,118,let,TRUE,FALSE,TRUE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,see,now let-ZERO me see,dinner,7,andy118
andy,118,see,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,now let-ZERO me see,dinner,7,andy118
andy,121,get,FALSE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,everything get-3S catch-PAST when you go over it,dinner,9,andy121
andy,121,catch,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,everything get-3S catch-PAST when you go over it,dinner,9,andy121
andy,121,go,FALSE,TRUE,FALSE,over,it,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,everything get-3S catch-PAST when you go over it,dinner,9,andy121
andy,122,want,TRUE,FALSE,FALSE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FALSE,NONE,want some more,dinner,4,andy122
